Churn;Gender;SeniorCitizen;Partner;Dependents;Tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;DailyCharges;MonthlyCharges;AvgServiceCost;TotalCharges;ServiceCount;TenureGroup;Churn_binary
No;Female;No;Yes;Yes;9;Yes;No;Dsl;No;Yes;No;Yes;Yes;No;One year;Yes;Mailed check;65,92;65,6;16,4;593,3;4;0–12;0
No;Male;No;No;No;9;Yes;Yes;Dsl;No;No;No;No;No;Yes;Month-to-month;No;Mailed check;60,27;59,9;29,95;542,4;2;0–12;0
Yes;Male;No;No;No;4;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;70,21;73,9;36,95;280,85;2;0–12;1
Yes;Male;Yes;Yes;No;13;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;95,22;98,0;19,6;1237,85;5;13–24;1
Yes;Female;Yes;Yes;No;3;Yes;No;Fiber optic;No;No;No;Yes;Yes;No;Month-to-month;Yes;Mailed check;89,13;83,9;27,96666666666667;267,4;3;0–12;1
No;Female;No;No;Yes;9;Yes;No;Dsl;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);63,49;69,4;17,35;571,45;4;0–12;0
No;Female;Yes;Yes;No;71;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);111,33;109,7;15,671428571428573;7904,25;7;61–72;0
No;Male;No;Yes;No;63;Yes;Yes;Fiber optic;Yes;No;No;Yes;No;No;Two year;Yes;Credit card (automatic);85,36;84,65;28,21666666666667;5377,8;3;61–72;0
No;Female;Yes;No;No;7;Yes;No;Dsl;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;48,62;48,2;24,1;340,35;2;0–12;0
No;Female;No;Yes;Yes;65;Yes;Yes;Dsl;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;91,66;90,45;12,921428571428573;5957,9;7;61–72;0
No;Male;No;No;No;54;No;No;Dsl;Yes;No;No;Yes;Yes;No;Two year;No;Credit card (automatic);45,57;45,2;15,066666666666668;2460,55;3;49–60;0
No;Female;No;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);117,45;116,8;16,685714285714287;8456,75;7;61–72;0
No;Female;No;Yes;No;5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70,3;68,95;68,95;351,5;1;0–12;0
No;Female;No;No;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;No;Two year;Yes;Bank transfer (automatic);100,85;101,3;20,259999999999998;7261,25;5;61–72;0
No;Female;No;No;No;56;No;No;Dsl;Yes;Yes;Yes;Yes;No;No;Two year;No;Bank transfer (automatic);45,72;45,05;11,2625;2560,1;4;49–60;0
No;Female;No;Yes;Yes;71;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;Two year;Yes;Credit card (automatic);96,47;95,75;23,9375;6849,4;4;61–72;0
No;Female;No;Yes;Yes;34;No;No;Dsl;Yes;No;Yes;Yes;Yes;Yes;One year;No;Mailed check;58,62;61,25;12,25;1993,2;5;25–36;0
No;Female;Yes;No;No;1;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;72,1;72,1;72,1;72,1;1;0–12;0
Yes;Male;Yes;No;No;45;Yes;No;Dsl;Yes;No;Yes;No;No;Yes;One year;No;Credit card (automatic);62,03;62,7;15,675;2791,5;4;37–48;1
Yes;Male;Yes;No;No;1;No;No;Dsl;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;25,1;25,1;;25,1;0;0–12;1
No;Female;Yes;Yes;No;50;Yes;Yes;No;No;No;No;No;No;No;One year;No;Electronic check;26,13;25,2;25,2;1306,3;1;49–60;0
Yes;Female;No;Yes;No;13;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;No;Electronic check;93,51;94,1;23,525;1215,6;4;13–24;1
No;Female;No;Yes;Yes;23;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;80,43;83,75;41,875;1849,95;2;13–24;0
No;Female;No;No;No;3;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;19,07;19,85;19,85;57,2;1;0–12;0
Yes;Female;No;Yes;Yes;4;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;19,09;20,35;20,35;76,35;1;0–12;1
Yes;Female;No;Yes;Yes;1;No;No;Dsl;Yes;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);30,5;30,5;30,5;30,5;1;0–12;1
